time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.000020, 0.01707489135, 0.0170889292, 0.0170608535, 0.0512162168, 0.0512568057, 0.0511756279
0.000020, 0.0121051194, 0.0121672973, 0.0120429415, 0.036267109199999994, 0.0364528373, 0.0360813811
0.000020, 0.01797594225, 0.0180224944, 0.0179293901, 0.05388679545, 0.0540246554, 0.0537489355
0.000020, 0.01330499865, 0.0133223869, 0.0132876104, 0.039917917950000006, 0.0399691761, 0.0398666598
0.000020, 0.0187811004, 0.0188004188, 0.018761782, 0.05632176435, 0.0563783161, 0.0562652126
0.000020, 0.01896359675, 0.0189917441, 0.0189354494, 0.056877831000000004, 0.0569605045, 0.0567951575
0.000020, 0.0177609045, 0.0177775174, 0.0177442916, 0.05327525365, 0.0533239916, 0.0532265157
0.000020, 0.017575703550000002, 0.0176103357, 0.0175410714, 0.052744761099999996, 0.0528453551, 0.0526441671
0.000020, 0.0178537145, 0.017870564, 0.017836865, 0.05355715565, 0.0536062047, 0.0535081066
0.000020, 0.0183456065, 0.0183567349, 0.0183344781, 0.0550365839, 0.0550707206, 0.0550024472
