time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.193160, 0.018933167854632987, 0.0261704978, 0.0134671116, 0.05679349588714151, 0.0782205164, 0.0404722765
0.193180, 0.019049467537556937, 0.0262847878, 0.0135568343, 0.05714547769198758, 0.0785933137, 0.0407367237
0.193160, 0.019165617996593852, 0.0263155028, 0.0136419181, 0.05749396312612072, 0.0786618441, 0.0409933701
0.193120, 0.019184578707186498, 0.0264225733, 0.0137265548, 0.057552713219540225, 0.0790027753, 0.0412532389
0.193160, 0.019280070809328087, 0.0264681987, 0.0138141857, 0.05783396683466197, 0.0791158304, 0.0415094234
0.193180, 0.019422494479399588, 0.0265586432, 0.0138727445, 0.05826723178618012, 0.0794102028, 0.0416891314
0.193160, 0.019480886905331812, 0.0266098883, 0.0139465546, 0.058441909777772034, 0.0795621127, 0.0419062637
0.193180, 0.019539321420300203, 0.0266501494, 0.0140034175, 0.05861482023042443, 0.0796726421, 0.0420821495
0.193180, 0.019564269045652175, 0.0267456118, 0.0140897054, 0.05869198500284679, 0.0799677372, 0.0423415527
0.193160, 0.01966017065373227, 0.0267598033, 0.0141313896, 0.05898188718165441, 0.0800112635, 0.0424652509
