time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.540160, 0.017239297894394462, 0.0245507192, 0.0117116449, 0.051713913115724396, 0.0733826384, 0.0351994336
0.540180, 0.017496570172121438, 0.0247646272, 0.011978358, 0.052486810947808216, 0.0740509853, 0.0359951854
0.540180, 0.017743316425279525, 0.024949003, 0.0122194709, 0.05322805386496113, 0.0745841265, 0.0367168486
0.540180, 0.017970605115834877, 0.0251074955, 0.0124430098, 0.05390890612649019, 0.0750783682, 0.0373939797
0.540180, 0.018185293454076268, 0.0252898596, 0.0126655893, 0.05455265127322103, 0.0756101087, 0.0380614996
0.540180, 0.01837248862482784, 0.0254174881, 0.0128254965, 0.05511384133945206, 0.0759899467, 0.0385441408
0.540200, 0.01853709985749139, 0.0255279001, 0.0129928086, 0.05560884882106179, 0.0763262436, 0.0390393138
0.540180, 0.018685679278097, 0.0256339442, 0.0131338984, 0.056055059261762304, 0.0766554028, 0.0394686386
0.540160, 0.018816301031041503, 0.0257668979, 0.0132903112, 0.056446833127983265, 0.0770526305, 0.0399439
0.540120, 0.01892993571666605, 0.0258145891, 0.0133971078, 0.056788510954708035, 0.0771992207, 0.0402624458
