time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.171920, 0.020111220958264512, 0.0301960148, 0.0140278898, 0.06033005006114923, 0.0900329575, 0.0421614014
0.171920, 0.020993370815458882, 0.0317581259, 0.0139876083, 0.06297789629595207, 0.0945700109, 0.0420514829
0.171960, 0.020363603654738924, 0.0315272249, 0.0139813349, 0.06108607629734853, 0.0938432813, 0.0420240648
0.171960, 0.020800167727282243, 0.0316554904, 0.0139902411, 0.062400763629259205, 0.0942493305, 0.0420558117
0.171980, 0.02039369784584884, 0.0315615162, 0.0139939124, 0.06117627914788371, 0.0940052643, 0.0420644134
0.171960, 0.020123045642539833, 0.0315219015, 0.0140100019, 0.060366375458413765, 0.0938222632, 0.0421167463
0.171920, 0.020507033269233452, 0.0316456258, 0.0139985969, 0.06151687916247528, 0.0942019895, 0.0420744158
0.171960, 0.020114423838085826, 0.0301407017, 0.01401415, 0.06034237644073728, 0.0898982361, 0.0421163701
0.171940, 0.020142337861525937, 0.0315280482, 0.0140039725, 0.06042012995445452, 0.0938711837, 0.0420755334
0.171940, 0.020179045899162595, 0.0301362518, 0.0140256491, 0.060531231076099104, 0.0898453593, 0.0421426706
