time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.181160, 0.020391112207517385, 0.0315636322, 0.013980357, 0.06116902761861132, 0.0939591005, 0.042021364
0.181180, 0.020293391630154523, 0.0314948224, 0.0139882211, 0.06087460179286976, 0.0937964916, 0.0420459583
0.181180, 0.02009493702874172, 0.0301319454, 0.0139933527, 0.06027888407961368, 0.0898303166, 0.0420598984
0.181160, 0.02021241393327078, 0.0315332152, 0.0139979571, 0.06063409345008279, 0.0938655362, 0.042071633
0.181180, 0.02018674709815673, 0.0301047266, 0.0140012447, 0.06055500890032009, 0.0897864103, 0.0420691073
0.181160, 0.020181340194149463, 0.0301445313, 0.0140040983, 0.06054069907043823, 0.0899049193, 0.0420870259
0.181160, 0.0203199326205983, 0.031515047, 0.0139516862, 0.06095285079305663, 0.0938278362, 0.0419170707
0.181180, 0.020176447919580575, 0.030114539, 0.0139950262, 0.0605261517431457, 0.0897997096, 0.0420596525
0.181180, 0.020156441249337746, 0.0301206261, 0.0140077472, 0.060465038523598226, 0.089807041, 0.0420959257
0.181180, 0.020064625824536424, 0.0300586279, 0.014010218, 0.06018942898824504, 0.0896242484, 0.0420945883
