"Timestamp","Value"
0.000000,0
1.224100,1
1.225000,0
3.321480,1
3.322400,0
3.722620,1
3.723520,0
3.995780,1
3.996680,0
4.278000,1
4.278900,0
4.503900,1
4.504820,0
4.740240,1
4.741160,0
4.980720,1
4.981620,0
5.268640,1
5.269560,0
5.596900,1
5.597800,0
5.898860,1
5.899780,0
6.227820,1
6.228720,0
6.544280,1
6.545180,0
6.838000,1
6.838920,0
7.130240,1
7.131140,0
7.387460,1
7.388360,0
7.639340,1
7.640260,0
7.952600,1
7.953500,0
8.228800,1
8.229700,0
8.502640,1
8.503560,0
8.763140,1
8.764060,0
8.990060,1
8.990980,0
9.214840,1
9.215740,0
9.372280,1
9.373200,0
9.451780,1
9.452680,0
9.746960,1
9.747880,0
9.980860,1
9.981780,0
