"Timestamp","Value"
0.000000,0
0.790320,1
0.983480,0
2.942720,1
2.948360,0
2.948860,1
3.142020,0
3.392140,1
3.585280,0
3.857020,1
4.050180,0
4.275280,1
4.468440,0
4.676220,1
4.869380,0
5.083840,1
5.277000,0
5.474320,1
5.667520,0
5.838840,1
6.177480,0
6.177980,1
6.371140,0
6.521580,1
6.714760,0
6.866460,1
7.059620,0
7.292800,1
7.485920,0
7.701980,1
7.895140,0
8.092180,1
8.285360,0
8.478880,1
8.672040,0
8.898300,1
9.091480,0
9.297200,1
9.490380,0
9.670060,1
9.863220,0
10.036240,1
10.229380,0
10.412980,1
10.606120,0
10.800760,1
10.993920,0
12.946900,1
13.140040,0
